dgp,n,p,tune,rep,seed,train_R2,test_R2,train_MSE,test_MSE,overfit_ratio,overfit_gap,sigma_hat,lambda_hat,df_eff,wall_clock_s,n_warnings,n_errors
interaction,500,10,autotune,8,33220008,0.82154176464247,0.666526336803307,0.522597784671118,0.858797090968219,1.64332325195117,0.155015427839163,20,0.410670905319131,NA,0.375999999999976,0,0
interaction,500,10,autotune,9,33220009,0.822837096988954,0.690967435461,0.377067730520567,0.802266610918698,2.12764590014403,0.131869661527953,20,0.406594982298004,NA,0.330999999999989,0,0
interaction,500,10,autotune,10,33220010,0.811070709415479,0.642890785076347,0.506050668522871,0.900017327282252,1.77851227804786,0.168179924339132,20,0.410645654714968,NA,0.361999999999995,0,0
sparse,500,10,autotune,1,43220001,0.818909565585415,0.785868726754613,3.10514787950836,3.90697512811554,1.25822514086966,0.0330408388308026,40,0.706524806146307,NA,0.358000000000004,0,0
sparse,500,10,autotune,2,43220002,0.80588804411032,0.764640749705832,3.3168885172856,4.48274081917671,1.35148974583119,0.0412472944044879,40,0.757651735139126,NA,0.397999999999996,0,0
sparse,500,10,autotune,3,43220003,0.808737424281819,0.777938281680906,3.77933184261221,4.29398098086402,1.13617463606903,0.0307991426009129,40,1.0076750160405,NA,0.312999999999988,0,0
sparse,500,10,autotune,4,43220004,0.839799273763401,0.794041661157464,2.9491681473752,4.00607197676441,1.35837354012177,0.0457576126059375,40,0.757651735139126,NA,0.361000000000018,0,0
sparse,500,10,autotune,5,43220005,0.85187556702884,0.808464806473468,2.69468888521243,4.05718997684058,1.50562463782187,0.0434107605553721,40,0.601209495176924,NA,0.354000000000013,0,0
sparse,500,10,autotune,6,43220006,0.824646530195165,0.761725450898113,3.49425565280156,4.13735049160172,1.18404344235218,0.0629210792970512,40,0.757651735139126,NA,0.312000000000012,0,0
sparse,500,10,autotune,7,43220007,0.811549323897199,0.776407991912034,4.13724147381949,4.34939015572315,1.05127780992387,0.0351413319851649,40,1.00959439446174,NA,0.343000000000018,0,0
sparse,500,10,autotune,8,43220008,0.813097533731229,0.805140847956356,3.37620812206584,3.89196445667788,1.15276200872844,0.00795668577487263,40,0.757651735139126,NA,0.322000000000003,0,0
sparse,500,10,autotune,9,43220009,0.806194212021435,0.763427172658045,3.9526459529465,4.58609981449561,1.160260713732,0.0427670393633903,40,1.00959439446174,NA,0.378000000000014,0,0
sparse,500,10,autotune,10,43220010,0.81265971743022,0.75560662524781,4.13524567019636,4.6333569776572,1.12045507019107,0.0570530921824106,40,0.959690363382806,NA,0.316000000000003,0,0
noise,500,10,autotune,1,53220001,0.00814257640317284,-0.0140802426197493,0.941195662731074,1.04995221793592,1.11555148361954,0.0222228190229221,2.5,307.780932,NA,0.363,0,0
noise,500,10,autotune,2,53220002,0.0130664956698912,0.000960916900159425,0.945325242722712,1.04007501722589,1.1002298153282,0.0121055787697317,5,189.07317,NA,0.305999999999983,0,0
noise,500,10,autotune,3,53220003,0.00826287437279538,-0.00622335384826833,0.961593363153176,1.07212754414103,1.11494898490709,0.0144862282210637,2.5,307.780932,NA,0.337999999999994,0,0
noise,500,10,autotune,4,53220004,0.0137174542228223,-0.00162637330068383,0.900690954075421,0.974289761080124,1.08171371841994,0.0153438275235062,5,189.07317,NA,0.287999999999982,0,0
noise,500,10,autotune,5,53220005,0.013010730404263,0.000601837234324609,0.976976180293581,1.04416212081841,1.06876927184104,0.0124088931699384,2.5,190.219068,NA,0.316000000000003,0,0
noise,500,10,autotune,6,53220006,0.0132189989576756,0.000809657509008854,0.958079971254083,1.04195837169114,1.08754843327668,0.0124093414486668,2.5,190.219068,NA,0.318999999999988,0,0
noise,500,10,autotune,7,53220007,0.0125089574471809,-0.000234464154648117,0.897422172448746,0.961011054739754,1.07085726678392,0.0127434216018291,2.5,190.219068,NA,0.314999999999998,0,0
noise,500,10,autotune,8,53220008,0.00825220034896401,-0.00157765652236597,1.04353120676135,0.988758470394371,0.947512124206642,0.00982985687132998,2.5,307.780932,NA,0.338999999999999,0,0
noise,500,10,autotune,9,53220009,0.0131080798028588,0.0009049613684321,0.983139479378803,0.971013314498859,0.987665875357171,0.0122031184344267,5,189.07317,NA,0.311999999999983,0,0
noise,500,10,autotune,10,53220010,0.00395265666211886,-0.00638281629783455,0.973606978769224,0.92428182842883,0.949337719001616,0.0103354729599534,80,161.4718703,NA,0.298999999999978,0,0
