"dgp","n","rep","model","auc","logloss","acc","t_fit"
"twonorm",500,4,"earth",0.95276435856146,0.38987466140403,0.86,0.00888180732727051
"twonorm",500,4,"ranger",0.995526927894078,0.28703336744379,0.973333333333333,0.0480022430419922
"threenorm",500,4,"ares",0.87973670165451,0.468390901515516,0.773333333333333,0.112307786941528
"threenorm",500,4,"earth",0.828856075431418,0.532702263195333,0.74,0.00809979438781738
"threenorm",500,4,"ranger",0.894858566091443,0.482213570596194,0.8,0.059253454208374
"ringnorm",500,4,"ares",0.939732142857143,1.87010684988365,0.933333333333333,0.0292985439300537
"ringnorm",500,4,"earth",0.948571428571429,0.441931512913932,0.88,0.00908994674682617
"ringnorm",500,4,"ranger",0.958392857142857,0.347902174810669,0.866666666666667,0.0583341121673584
"waveform",500,4,"ares",0.882233796296296,0.957062108855995,0.793333333333333,0.0308690071105957
"waveform",500,4,"earth",0.881944444444444,0.684526033722317,0.76,0.00989747047424316
"waveform",500,4,"ranger",0.927662037037037,0.356333806995505,0.833333333333333,0.0484731197357178
"twonorm",1500,4,"ares",0.998161183169883,0.0536631003623804,0.982222222222222,0.0728585720062256
"twonorm",1500,4,"earth",0.982442265105979,0.175473416441132,0.924444444444444,0.0192310810089111
"twonorm",1500,4,"ranger",0.997884372034166,0.243025291346005,0.975555555555556,0.20596718788147
"threenorm",1500,4,"ares",0.913560462171573,0.397002709496438,0.84,0.0708732604980469
"threenorm",1500,4,"earth",0.823975150364039,0.54480733921899,0.766666666666667,0.0222635269165039
"threenorm",1500,4,"ranger",0.934710351377018,0.423089762622294,0.866666666666667,0.26524806022644
"ringnorm",1500,4,"ares",0.991820365701126,0.137794092564237,0.953333333333333,0.0711913108825684
"ringnorm",1500,4,"earth",0.970874942921241,0.211906969993845,0.922222222222222,0.0240387916564941
"ringnorm",1500,4,"ranger",0.983878973177947,0.255677684044809,0.922222222222222,0.269900560379028
"waveform",1500,4,"ares",0.940901444686325,0.382592335948533,0.871111111111111,0.0883059501647949
"waveform",1500,4,"earth",0.93630021769246,0.402649284428114,0.891111111111111,0.0260815620422363
"waveform",1500,4,"ranger",0.960963783890758,0.282583936949792,0.897777777777778,0.209591865539551
"twonorm",500,5,"ares",0.984556686046512,0.718697412255643,0.96,0.0311310291290283
"twonorm",500,5,"earth",0.961482558139535,0.671984009540905,0.893333333333333,0.00855231285095215
"twonorm",500,5,"ranger",0.987463662790698,0.32077942261744,0.946666666666667,0.0490560531616211
"threenorm",500,5,"ares",0.906844444444444,0.452306168485957,0.8,0.0260055065155029
"threenorm",500,5,"earth",0.834844444444444,0.524965707004137,0.76,0.0164942741394043
"threenorm",500,5,"ranger",0.949866666666667,0.442283358291167,0.846666666666667,0.0619215965270996
"ringnorm",500,5,"ares",0.938534068671055,2.06867768795799,0.92,0.0313699245452881
"ringnorm",500,5,"earth",0.987368795587974,0.139588390103692,0.933333333333333,0.00963354110717773
"ringnorm",500,5,"ranger",0.988614125600427,0.307522491390841,0.9,0.056894063949585
"waveform",500,5,"ares",0.910065406976744,0.492475555655409,0.86,0.02968430519104
"waveform",500,5,"earth",0.905341569767442,0.48680889330129,0.833333333333333,0.00836443901062012
"waveform",500,5,"ranger",0.954033430232558,0.352879064253272,0.853333333333333,0.049511194229126
"twonorm",1500,5,"ares",0.997622868009746,0.0666106387783857,0.977777777777778,0.0749092102050781
"twonorm",1500,5,"earth",0.981577227075533,0.175079885832654,0.942222222222222,0.017402172088623
"twonorm",1500,5,"ranger",0.995245736019493,0.23699970785458,0.964444444444444,0.207947969436646
"threenorm",1500,5,"ares",0.911016949152542,0.387758241865752,0.833333333333333,0.0679733753204346
"threenorm",1500,5,"earth",0.857258830983684,0.473100380504942,0.768888888888889,0.0207855701446533
"threenorm",1500,5,"ranger",0.94489545382544,0.429886267580481,0.882222222222222,0.266977071762085
"ringnorm",1500,5,"ares",0.966042293679709,1.00001133950492,0.966666666666667,0.0985808372497559
"ringnorm",1500,5,"earth",0.98314984951687,0.167950209201615,0.937777777777778,0.0205667018890381
